"Species","Latitude","Longitude","optional"
"Oscar",25.70975,-80.38154,TRUE
"Butterfly Peacock Bass",25.64437,-80.34301,TRUE
"Butterfly Peacock Bass",25.64965,-80.35278,TRUE
"Butterfly Peacock Bass",25.66231,-80.35597,TRUE
"Butterfly Peacock Bass",25.64402,-80.33998,TRUE
"Butterfly Peacock Bass",25.69121,-80.34406,TRUE
"Butterfly Peacock Bass",25.6923,-80.31978,TRUE
"Butterfly Peacock Bass",25.69166,-80.33292,TRUE
"Black Acara",25.47464,-80.41219,TRUE
"Mayan Cichlid",25.971,-80.36589,TRUE
"Mayan Cichlid",25.86317,-81.10066,TRUE
"Mayan Cichlid",25.3612,-80.63039,TRUE
"Mayan Cichlid",25.60961,-80.31824,TRUE
"Mayan Cichlid",25.64402,-80.33998,TRUE
"Mayan Cichlid",25.64965,-80.35278,TRUE
"Mayan Cichlid",25.47149,-80.37971,TRUE
"Mayan Cichlid",25.70975,-80.38154,TRUE
"Walking Catfish",26.44526,-82.11131,TRUE
"Walking Catfish",26.44552,-82.11349,TRUE
"Walking Catfish",26.44563,-82.11366,TRUE
"Walking Catfish",25.69592,-80.29845,TRUE
"Walking Catfish",25.69121,-80.34406,TRUE
"Walking Catfish",25.70975,-80.38154,TRUE
"African Jewelfish",26.63883,-81.34007,TRUE
"African Jewelfish",26.62941,-81.32945,TRUE
"African Jewelfish",25.60961,-80.31824,TRUE
"African Jewelfish",25.64965,-80.35278,TRUE
"African Jewelfish",25.64402,-80.33998,TRUE
"African Jewelfish",25.66231,-80.35597,TRUE
"African Jewelfish",25.57341,-80.42963,TRUE
"African Jewelfish",25.6015,-80.41338,TRUE
"African Jewelfish",25.66793,-80.28217,TRUE
"African Jewelfish",25.69592,-80.29845,TRUE
"African Jewelfish",25.69121,-80.34406,TRUE
"African Jewelfish",25.6923,-80.31978,TRUE
"African Jewelfish",25.70975,-80.38154,TRUE
"African Jewelfish",25.69166,-80.33292,TRUE
"African Jewelfish",25.43911,-80.63908,TRUE
"African Jewelfish",25.41749,-80.57925,TRUE
"African Jewelfish",25.41749,-80.57925,TRUE
"African Jewelfish",25.41749,-80.57925,TRUE
"African Jewelfish",25.41749,-80.57925,TRUE
"African Jewelfish",25.41749,-80.57925,TRUE
"African Jewelfish",25.40585,-80.59501,TRUE
"African Jewelfish",25.42059,-80.63374,TRUE
"African Jewelfish",25.43521,-80.73192,TRUE
"African Jewelfish",25.43357,-80.73488,TRUE
"African Jewelfish",25.40585,-80.59501,TRUE
"African Jewelfish",25.40585,-80.59501,TRUE
"African Jewelfish",25.40585,-80.59501,TRUE
"African Jewelfish",25.40585,-80.59501,TRUE
"African Jewelfish",25.40585,-80.59501,TRUE
"African Jewelfish",25.41672,-80.63322,TRUE
"African Jewelfish",25.40839,-80.6163,TRUE
"African Jewelfish",25.40839,-80.6163,TRUE
"African Jewelfish",25.40839,-80.6163,TRUE
"African Jewelfish",25.41906,-80.63277,TRUE
"Asian Swamp Eel",25.70975,-80.38154,TRUE
"Blue Tilapia",30.38552,-81.61684,TRUE
"Blue Tilapia",25.76082,-80.87155,TRUE
"Blue Tilapia",25.47464,-80.41219,TRUE
"Blue Tilapia",25.47067,-80.39582,TRUE
"Blackchin Tilapia",28.40434,-80.63051,TRUE
"Spotted Tilapia",25.86386,-81.10131,TRUE
"Spotted Tilapia",25.60961,-80.31824,TRUE
"Spotted Tilapia",25.66231,-80.35597,TRUE
"Spotted Tilapia",25.64965,-80.35278,TRUE
"Spotted Tilapia",25.5931,-80.41319,TRUE
"Spotted Tilapia",25.66793,-80.28217,TRUE
"Spotted Tilapia",25.47149,-80.37971,TRUE
"Spotted Tilapia",25.47464,-80.41219,TRUE
"Spotted Tilapia",25.69592,-80.29845,TRUE
"Spotted Tilapia",25.47067,-80.39582,TRUE
"Spotted Tilapia",25.70975,-80.38154,TRUE
"Oscar",34.57426,-86.5611,TRUE
"Oscar",26.57969,-81.82122,TRUE
"Oscar",25.36008,-80.56591,TRUE
"Black Acara",28.06083,-82.50076,TRUE
"Black Acara",28.08704,-82.47516,TRUE
"Black Acara",28.05115,-82.50562,TRUE
"Black Acara",28.18962,-82.68238,TRUE
"Mayan Cichlid",26.15854,-80.26439,TRUE
"Mayan Cichlid",26.27476,-80.25928,TRUE
"Mayan Cichlid",26.98498,-81.93611,TRUE
"Mayan Cichlid",25.36008,-80.56591,TRUE
"Mayan Cichlid",25.17553,-80.37581,TRUE
"Mayan Cichlid",26.35773,-80.11559,TRUE
"Mayan Cichlid",27.23202,-80.35504,TRUE
"Walking Catfish",27.84455,-82.48309,TRUE
"Walking Catfish",28.9444,-82.25325,TRUE
"African Jewelfish",25.95325,-81.36061,TRUE
"African Jewelfish",27.79053,-82.64137,TRUE
"African Jewelfish",27.0014,-82.2373,TRUE
"African Jewelfish",26.9696,-82.2239,TRUE
"African Jewelfish",26.965,-82.0138,TRUE
"African Jewelfish",26.16839,-81.73447,TRUE
"African Jewelfish",26.16976,-81.68928,TRUE
"African Jewelfish",27.8855,-82.303,TRUE
"African Jewelfish",27.8819,-82.3111,TRUE
"African Jewelfish",27.8794,-82.3128,TRUE
"African Jewelfish",27.8842,-82.3081,TRUE
"African Jewelfish",27.8829,-82.3099,TRUE
"African Jewelfish",27.8829,-82.3099,TRUE
"African Jewelfish",27.8679,-82.3227,TRUE
"African Jewelfish",27.8679,-82.3227,TRUE
"African Jewelfish",27.8626,-82.3428,TRUE
"African Jewelfish",27.8712,-82.3096,TRUE
"African Jewelfish",25.21952,-80.72949,TRUE
"African Jewelfish",25.2159,-80.6315,TRUE
"African Jewelfish",25.25441,-80.45485,TRUE
"African Jewelfish",25.25088,-80.53214,TRUE
"African Jewelfish",25.21683,-80.64874,TRUE
"African Jewelfish",25.24191,-80.57575,TRUE
"African Jewelfish",25.29309,-80.4595,TRUE
"African Jewelfish",25.29769,-80.4725,TRUE
"African Jewelfish",25.30099,-80.48173,TRUE
"African Jewelfish",25.30824,-80.50222,TRUE
"African Jewelfish",25.42547,-80.65505,TRUE
"African Jewelfish",25.43064,-80.66052,TRUE
"African Jewelfish",25.64736,-80.57211,TRUE
"African Jewelfish",25.57925,-80.57542,TRUE
"African Jewelfish",25.49867,-80.591,TRUE
"African Jewelfish",25.49886,-80.59531,TRUE
"African Jewelfish",25.49825,-80.59261,TRUE
"African Jewelfish",25.49771,-80.57703,TRUE
"African Jewelfish",25.49918,-80.57536,TRUE
"African Jewelfish",25.41798,-80.58877,TRUE
"African Jewelfish",25.43324,-80.73302,TRUE
"African Jewelfish",25.43325,-80.73345,TRUE
"African Jewelfish",25.43708,-80.70152,TRUE
"African Jewelfish",25.43272,-80.77771,TRUE
"African Jewelfish",25.43762,-80.78119,TRUE
"African Jewelfish",25.39623,-80.5937,TRUE
"African Jewelfish",25.41772,-80.64426,TRUE
"African Jewelfish",25.56241,-80.84682,TRUE
"African Jewelfish",25.37583,-80.7777,TRUE
"African Jewelfish",25.40029,-80.64268,TRUE
"African Jewelfish",25.62103,-80.78201,TRUE
"African Jewelfish",25.41332,-80.59508,TRUE
"African Jewelfish",25.41051,-80.72814,TRUE
"African Jewelfish",25.73842,-80.78179,TRUE
"African Jewelfish",25.67911,-80.5228,TRUE
"African Jewelfish",25.67947,-80.65234,TRUE
"African Jewelfish",25.32743,-80.71794,TRUE
"African Jewelfish",25.7385,-80.8466,TRUE
"African Jewelfish",25.26884,-80.78264,TRUE
"African Jewelfish",25.32712,-80.58878,TRUE
"African Jewelfish",25.50338,-80.65285,TRUE
"African Jewelfish",25.50322,-80.58817,TRUE
"African Jewelfish",25.44493,-80.78232,TRUE
"African Jewelfish",25.56191,-80.58797,TRUE
"African Jewelfish",25.62061,-80.58778,TRUE
"African Jewelfish",25.73831,-80.71698,TRUE
