"Species","Latitude","Longitude","optional"
"Mayan Cichlid",25.61062,-80.30888,TRUE
"Mayan Cichlid",25.44829,-80.35001,TRUE
"Mayan Cichlid",25.48952,-80.34745,TRUE
"Mayan Cichlid",25.47032,-80.34714,TRUE
"Mayan Cichlid",25.51941,-80.3475,TRUE
"Mayan Cichlid",26.69739,-80.72166,TRUE
"Mayan Cichlid",26.582233,-80.077629,TRUE
"Mayan Cichlid",26.21472,-80.28,TRUE
"Mayan Cichlid",26.25278,-81.28111,TRUE
"Mayan Cichlid",25.83358,-81.08144,TRUE
"Mayan Cichlid",25.89614,-81.21154,TRUE
"Mayan Cichlid",26.02714,-81.25594,TRUE
"Mayan Cichlid",25.8483,-80.9508,TRUE
"Mayan Cichlid",25.9025,-81.3414,TRUE
"Mayan Cichlid",25.8539,-81.0314,TRUE
"Mayan Cichlid",25.975,-81.3106,TRUE
"Mayan Cichlid",25.8808,-80.9536,TRUE
"Mayan Cichlid",25.8119,-81.1003,TRUE
"Mayan Cichlid",26.185,-81.2628,TRUE
"Mayan Cichlid",25.9936,-81.2986,TRUE
"Mayan Cichlid",25.8911,-81.27,TRUE
"Mayan Cichlid",25.54353,-80.33157,TRUE
"Mayan Cichlid",25.44829,-80.35001,TRUE
"Mayan Cichlid",25.48952,-80.34745,TRUE
"Mayan Cichlid",25.47032,-80.34714,TRUE
"Mayan Cichlid",25.51941,-80.3475,TRUE
"Mayan Cichlid",25.7886,-81.1,TRUE
"Mayan Cichlid",25.7867,-81.0975,TRUE
"Mayan Cichlid",25.93515,-80.97149,TRUE
"Mayan Cichlid",25.89614,-81.21154,TRUE
"Mayan Cichlid",25.89614,-81.21154,TRUE
"Mayan Cichlid",25.89614,-81.21154,TRUE
"Mayan Cichlid",26.02714,-81.25594,TRUE
"Mayan Cichlid",26.02714,-81.25594,TRUE
"Mayan Cichlid",26.02714,-81.25594,TRUE
"Mayan Cichlid",26.02714,-81.25594,TRUE
"Mayan Cichlid",26.14166,-80.25928,TRUE
"Mayan Cichlid",27.18333,-80.73333,TRUE
"Mayan Cichlid",25.306,-80.4934,TRUE
"Mayan Cichlid",25.3153,-80.5212,TRUE
"Mayan Cichlid",25.4742,-80.51,TRUE
"Mayan Cichlid",25.3865,-80.5739,TRUE
"Mayan Cichlid",25.19105,-80.64105,TRUE
